"chart_position.x","chart_date.x","song","artist","instance.x","time_on_chart.x","consecutive_weeks.x","previous_week.x","peak_position.x","worst_position.x","year.x","month.x","week.x","chart_position.y","chart_date.y","instance.y","time_on_chart.y","consecutive_weeks.y","previous_week.y","peak_position.y","worst_position.y","year.y","month.y","week.y","spotify_song_id","spotify_artist_id","genres","main_genres"
38,1958-12-27,"It's All In The Game","Tommy Edwards",1,20,19,29,1,96,1958,12,52,10,1958-11-29,1,16,15,5,1,96,1958,11,48,"2tvt5K7y1gndmCgtIoLo1f","1ObAu0tz0NlOI6FNHTXchD","deep adult standards, doo-wop, rhythm and blues","classic_folk, r&b_reggae, jazz_blues"
43,1959-01-03,"It's All In The Game","Tommy Edwards",1,21,20,38,1,96,1959,1,1,10,1958-11-29,1,16,15,5,1,96,1958,11,48,"2tvt5K7y1gndmCgtIoLo1f","1ObAu0tz0NlOI6FNHTXchD","deep adult standards, doo-wop, rhythm and blues","classic_folk, r&b_reggae, jazz_blues"
58,1959-01-10,"It's All In The Game","Tommy Edwards",1,22,21,43,1,96,1959,1,2,10,1958-11-29,1,16,15,5,1,96,1958,11,48,"2tvt5K7y1gndmCgtIoLo1f","1ObAu0tz0NlOI6FNHTXchD","deep adult standards, doo-wop, rhythm and blues","classic_folk, r&b_reggae, jazz_blues"
36,1959-01-17,"It's Only Make Believe","Conway Twitty",1,19,18,22,1,65,1959,1,3,36,1959-01-17,1,19,18,22,1,65,1959,1,3,"1xVOttVNT27FBTD8iHjOfU","7gi3jmwpUpNWdswT8eEprF","arkansas country, classic country pop, country, country rock","country, world_regional, pop, rock"
65,1959-01-24,"It's Only Make Believe","Conway Twitty",1,20,19,36,1,65,1959,1,4,36,1959-01-17,1,19,18,22,1,65,1959,1,3,"1xVOttVNT27FBTD8iHjOfU","7gi3jmwpUpNWdswT8eEprF","arkansas country, classic country pop, country, country rock","country, world_regional, pop, rock"
93,1959-01-31,"It's Only Make Believe","Conway Twitty",1,21,20,65,1,93,1959,1,5,36,1959-01-17,1,19,18,22,1,65,1959,1,3,"1xVOttVNT27FBTD8iHjOfU","7gi3jmwpUpNWdswT8eEprF","arkansas country, classic country pop, country, country rock","country, world_regional, pop, rock"
32,1959-02-07,"To Know Him, Is To Love Him","The Teddy Bears",1,21,20,24,1,88,1959,2,6,32,1959-02-07,1,21,20,24,1,88,1959,2,6,"5msxn2HUcd83qOsuQW7Kdb","4JFunELhYa3ZrJnSWAZl3W",NA,""
43,1959-02-14,"To Know Him, Is To Love Him","The Teddy Bears",1,22,21,32,1,88,1959,2,7,32,1959-02-07,1,21,20,24,1,88,1959,2,6,"5msxn2HUcd83qOsuQW7Kdb","4JFunELhYa3ZrJnSWAZl3W",NA,""
84,1959-02-21,"To Know Him, Is To Love Him","The Teddy Bears",1,23,22,43,1,88,1959,2,8,32,1959-02-07,1,21,20,24,1,88,1959,2,6,"5msxn2HUcd83qOsuQW7Kdb","4JFunELhYa3ZrJnSWAZl3W",NA,""
16,1959-02-28,"Smoke Gets In Your Eyes","The Platters",1,16,15,12,1,86,1959,2,9,16,1959-02-28,1,16,15,12,1,86,1959,2,9,"2vSxjnyrWrtxyfzO47EX6q","6KWcxMWVNVIYbdOQyJtsSy","adult standards, easy listening, rock-and-roll, rockabilly","classic_folk, rock"
25,1959-03-07,"Smoke Gets In Your Eyes","The Platters",1,17,16,16,1,86,1959,3,10,16,1959-02-28,1,16,15,12,1,86,1959,2,9,"2vSxjnyrWrtxyfzO47EX6q","6KWcxMWVNVIYbdOQyJtsSy","adult standards, easy listening, rock-and-roll, rockabilly","classic_folk, rock"
40,1959-03-14,"Smoke Gets In Your Eyes","The Platters",1,18,17,25,1,86,1959,3,11,16,1959-02-28,1,16,15,12,1,86,1959,2,9,"2vSxjnyrWrtxyfzO47EX6q","6KWcxMWVNVIYbdOQyJtsSy","adult standards, easy listening, rock-and-roll, rockabilly","classic_folk, rock"
45,1959-03-21,"Smoke Gets In Your Eyes","The Platters",1,19,18,40,1,86,1959,3,12,16,1959-02-28,1,16,15,12,1,86,1959,2,9,"2vSxjnyrWrtxyfzO47EX6q","6KWcxMWVNVIYbdOQyJtsSy","adult standards, easy listening, rock-and-roll, rockabilly","classic_folk, rock"
16,1959-03-28,"Stagger Lee","Lloyd Price",1,17,16,8,1,94,1959,3,13,16,1959-03-28,1,17,16,8,1,94,1959,3,13,"7qoaMWT3eRCKG1RN6dVuOY","3iOE5ItEv5xr9fmKi7GNh2","doo-wop, louisiana blues, memphis blues, new orleans blues, rhythm and blues, rock-and-roll, rockabilly","r&b_reggae, jazz_blues, world_regional, rock"
19,1959-04-04,"Stagger Lee","Lloyd Price",1,18,17,16,1,94,1959,4,14,16,1959-03-28,1,17,16,8,1,94,1959,3,13,"7qoaMWT3eRCKG1RN6dVuOY","3iOE5ItEv5xr9fmKi7GNh2","doo-wop, louisiana blues, memphis blues, new orleans blues, rhythm and blues, rock-and-roll, rockabilly","r&b_reggae, jazz_blues, world_regional, rock"
36,1959-04-11,"Stagger Lee","Lloyd Price",1,19,18,19,1,94,1959,4,15,16,1959-03-28,1,17,16,8,1,94,1959,3,13,"7qoaMWT3eRCKG1RN6dVuOY","3iOE5ItEv5xr9fmKi7GNh2","doo-wop, louisiana blues, memphis blues, new orleans blues, rhythm and blues, rock-and-roll, rockabilly","r&b_reggae, jazz_blues, world_regional, rock"
